"","ds","location","data_type","value"
"1",2020-09-15,"US","recovered_new",20557
"2",2020-09-15,"US","deaths_new",1422
"3",2020-09-15,"US","cases_new",52081
"4",2020-09-14,"US","recovered_new",23164
"5",2020-09-14,"US","deaths_new",422
"6",2020-09-14,"US","cases_new",34079
"7",2020-09-13,"US","recovered_new",16748
"8",2020-09-13,"US","deaths_new",378
"9",2020-09-13,"US","cases_new",34450
"10",2020-09-12,"US","recovered_new",16780
"11",2020-09-12,"US","deaths_new",714
"12",2020-09-12,"US","cases_new",41471
"13",2020-09-11,"US","recovered_new",14367
"14",2020-09-11,"US","deaths_new",1213
"15",2020-09-11,"US","cases_new",47552
"16",2020-09-10,"US","recovered_new",16032
"17",2020-09-10,"US","deaths_new",907
"18",2020-09-10,"US","cases_new",35888
"19",2020-09-09,"US","recovered_new",28368
"20",2020-09-09,"US","deaths_new",1206
"21",2020-09-09,"US","cases_new",33203
"22",2020-09-08,"US","recovered_new",25560
"23",2020-09-08,"US","deaths_new",445
"24",2020-09-08,"US","cases_new",26387
"25",2020-09-07,"US","recovered_new",17556
"26",2020-09-07,"US","cases_new",24257
"27",2020-09-07,"US","deaths_new",267
"28",2020-09-06,"US","recovered_new",13808
"29",2020-09-06,"US","cases_new",31395
"30",2020-09-06,"US","deaths_new",403
"31",2020-09-05,"US","recovered_new",18733
"32",2020-09-05,"US","cases_new",44452
"33",2020-09-05,"US","deaths_new",783
"34",2020-09-04,"US","recovered_new",16497
"35",2020-09-04,"US","cases_new",50502
"36",2020-09-04,"US","deaths_new",965
"37",2020-09-03,"US","cases_new",36506
"38",2020-09-03,"US","recovered_new",35200
"39",2020-09-03,"US","deaths_new",1070
"40",2020-09-02,"US","recovered_new",29094
"41",2020-09-02,"US","deaths_new",1056
"42",2020-09-02,"US","cases_new",39670
"43",2020-09-01,"US","recovered_new",17838
"44",2020-09-01,"US","cases_new",43253
"45",2020-09-01,"US","deaths_new",1067
"46",2020-08-31,"US","recovered_new",30886
"47",2020-08-31,"US","cases_new",34156
"48",2020-08-31,"US","deaths_new",573
"49",2020-08-30,"US","recovered_new",13325
"50",2020-08-30,"US","cases_new",35337
"51",2020-08-30,"US","deaths_new",310
"52",2020-08-29,"US","recovered_new",22247
"53",2020-08-29,"US","deaths_new",958
"54",2020-08-29,"US","cases_new",47153
"55",2020-08-28,"US","recovered_new",17041
"56",2020-08-28,"US","deaths_new",971
"57",2020-08-28,"US","cases_new",46156
"58",2020-08-27,"US","recovered_new",16861
