room_type,reviews,overall_satisfaction,accommodates,bedrooms,price
Shared room,0,0,3,1,129
Shared room,6,5,4,1,118
Shared room,1,0,4,1,84
Shared room,11,5,2,1,74
Shared room,2,0,2,1,50
Shared room,15,5,2,1,53
Shared room,116,4.5,2,1,47
Shared room,1,0,2,1,25
Shared room,1,0,2,1,32
Shared room,15,4,2,1,30
Shared room,0,0,4,1,500
Shared room,0,0,4,1,480
Shared room,0,0,6,1,400
Shared room,0,0,4,1,250
Shared room,1,0,4,1,200
Shared room,0,0,2,1,150
Shared room,1,0,1,1,150
Shared room,0,0,4,1,125
Shared room,25,4,16,1,125
Shared room,0,0,1,1,140
Shared room,3,5,4,1,110
Shared room,0,0,2,1,120
Shared room,10,5,3,1,115
Shared room,0,0,2,1,85
Shared room,1,0,2,1,99
Shared room,5,4.5,2,1,80
Shared room,1,0,1,1,100
Shared room,4,4.5,2,1,85
Shared room,0,0,1,1,100
Shared room,64,5,1,1,89
Shared room,5,5,1,1,85
Shared room,34,5,2,1,69
Shared room,4,2.5,2,1,80
Shared room,0,0,2,1,60
Shared room,8,5,2,1,60
Shared room,80,5,1,1,70
Shared room,0,0,2,1,60
Shared room,1,0,2,1,75
Shared room,0,0,2,1,70
Shared room,0,0,1,1,75
Shared room,114,5,1,1,75
Shared room,25,4.5,2,1,62
Shared room,11,5,2,1,80
Shared room,2,0,1,1,65
Shared room,10,4.5,2,1,70
Shared room,0,0,4,1,65
Shared room,2,0,4,1,70
Shared room,42,5,3,1,70
Shared room,57,5,2,1,80
Shared room,4,4.5,1,1,75
Shared room,1,0,1,1,60
Shared room,0,0,1,1,50
Shared room,17,5,2,1,50
Shared room,1,0,1,1,54
Shared room,2,0,1,1,54
Shared room,5,5,1,1,54
Shared room,4,5,4,1,44
Shared room,13,4.5,1,1,49
Shared room,39,5,1,1,49
Shared room,6,5,1,1,54
Shared room,18,5,1,1,49
Shared room,62,5,1,1,49
Shared room,4,5,2,1,50
Shared room,0,0,1,1,45
Shared room,22,4,8,1,45
Shared room,0,0,2,1,50
Shared room,0,0,6,1,60
Shared room,1,0,1,1,45
Shared room,0,0,1,1,50
Shared room,7,4.5,1,1,50
Shared room,0,0,2,1,40
Shared room,99,5,1,1,49
Shared room,23,5,1,1,49
Shared room,13,4.5,2,1,46
Shared room,6,5,1,1,60
Shared room,0,0,2,1,50
Shared room,8,5,2,1,60
Shared room,79,5,2,1,40
Shared room,3,5,1,1,50
Shared room,12,5,2,1,50
Shared room,7,5,2,1,60
Shared room,74,4.5,2,1,50
Shared room,91,4.5,2,1,48
Shared room,103,5,1,1,49
Shared room,0,0,2,1,40
Shared room,5,4.5,1,1,35
Shared room,0,0,1,1,30
Shared room,0,0,2,1,40
Shared room,0,0,1,1,40
Shared room,0,0,1,1,35
Shared room,0,0,1,1,28
Shared room,4,5,2,1,40
Shared room,0,0,1,1,28
Shared room,7,4.5,1,1,20
Shared room,0,0,1,1,33
Shared room,0,0,1,1,22
Shared room,0,0,1,1,28
Shared room,7,5,1,1,25
Shared room,0,0,1,1,28
Shared room,5,4,1,1,15
Shared room,6,4.5,4,1,40
Shared room,12,4.5,1,1,25
Shared room,0,0,2,1,25
Shared room,17,4.5,4,1,40
Shared room,17,4,4,1,36
Shared room,29,4,16,1,15
Shared room,2,0,1,1,35
Shared room,10,4.5,4,1,29
Shared room,8,4,6,1,40
Shared room,15,4.5,1,1,23
Shared room,31,4.5,1,1,36
Shared room,0,0,1,1,25
Shared room,22,4,8,1,28
Shared room,34,4,2,1,19
Shared room,0,0,1,1,40
Shared room,51,4.5,4,1,15
Shared room,12,4.5,1,1,35
Shared room,14,4,1,1,15
Shared room,4,5,1,1,35
Shared room,1,0,1,1,37
Shared room,0,0,4,1,39
Shared room,23,4,16,1,11
Shared room,13,4.5,1,1,35
Shared room,44,4,1,1,20
Shared room,8,5,2,1,37
Shared room,0,0,1,1,19
Shared room,0,0,4,1,39
Shared room,10,4,3,1,37
Shared room,0,0,1,1,17
Shared room,8,2.5,1,1,19
Shared room,1,0,1,1,17
Shared room,0,0,4,1,38
Shared room,14,4.5,1,1,35
Shared room,25,4,1,1,15
Shared room,1,0,1,1,17
Shared room,9,4.5,2,1,37
Shared room,27,4.5,1,1,12
Shared room,19,5,1,1,35
Shared room,12,5,1,1,35
Shared room,4,5,1,1,35
Shared room,0,0,1,1,25
Shared room,13,4.5,2,1,37
Shared room,7,5,2,1,40
Shared room,18,5,1,1,30
Shared room,13,5,2,1,35
Shared room,131,4.5,1,1,30
Shared room,1,0,1,1,25
Shared room,1,0,1,1,22
Shared room,22,5,1,1,27
Shared room,3,3.5,1,1,19
Shared room,0,0,2,1,21
Shared room,3,4.5,1,1,37
Shared room,20,4.5,1,1,40
Shared room,8,5,1,1,30
Shared room,38,5,1,1,21
Shared room,11,4.5,1,1,21
Shared room,3,5,2,1,35
Shared room,194,4.5,1,1,38
Shared room,2,0,1,1,37
Shared room,14,5,1,1,35
Shared room,4,5,4,1,15
Shared room,0,0,4,1,35
Shared room,5,3,1,1,19
Shared room,79,4,8,1,28
Shared room,15,4.5,1,1,23
Shared room,1,0,1,1,19
Shared room,10,5,1,1,25
Shared room,26,4.5,1,1,25
Entire home/apt,1,0,15,6,595
Entire home/apt,1,0,8,3,350
Entire home/apt,0,0,6,3,1499
Entire home/apt,0,0,7,3,2000
Entire home/apt,0,0,5,1,2000
Entire home/apt,0,0,6,3,1400
Entire home/apt,0,0,4,1,1200
Entire home/apt,0,0,5,2,1200
Entire home/apt,2,0,10,3,586
Entire home/apt,95,5,4,1,94
Entire home/apt,0,0,5,2,50
Entire home/apt,0,0,4,2,2000
Entire home/apt,0,0,12,5,10000
Entire home/apt,0,0,4,2,3200
Entire home/apt,1,0,7,3,2200
Entire home/apt,0,0,8,4,10000
Entire home/apt,0,0,2,1,2000
Entire home/apt,0,0,8,4,2000
Entire home/apt,0,0,8,4,2200
Entire home/apt,0,0,10,3,2500
Entire home/apt,0,0,10,2,2000
Entire home/apt,0,0,2,1,2499
Entire home/apt,0,0,8,3,1900
Entire home/apt,0,0,8,3,2400
Entire home/apt,0,0,8,3,2000
Entire home/apt,0,0,4,3,1500
Entire home/apt,0,0,4,1,1050
Entire home/apt,0,0,4,2,1200
Entire home/apt,0,0,4,1,1200
Entire home/apt,0,0,8,3,1500
Entire home/apt,0,0,4,2,1200
Entire home/apt,0,0,6,3,1400
Entire home/apt,0,0,5,3,1099
Entire home/apt,0,0,5,2,1200
Entire home/apt,0,0,6,2,1250
Entire home/apt,0,0,6,3,1080
Entire home/apt,0,0,3,1,1303
Entire home/apt,0,0,4,2,1100
Entire home/apt,0,0,6,1,1371
Entire home/apt,0,0,15,4,1500
Entire home/apt,0,0,4,2,1300
Entire home/apt,0,0,6,3,1200
Entire home/apt,0,0,6,2,1300
Entire home/apt,0,0,6,2,1034
Entire home/apt,0,0,6,2,1100
Entire home/apt,0,0,5,2,1200
Entire home/apt,1,0,14,6,1025
Entire home/apt,0,0,8,4,1200
Entire home/apt,0,0,6,3,870
Entire home/apt,0,0,5,2,750
Entire home/apt,0,0,5,2,913
Entire home/apt,0,0,3,1,850
Entire home/apt,0,0,2,1,159
Entire home/apt,5,4.5,3,1,165
Entire home/apt,1,0,2,1,130
Entire home/apt,0,0,2,1,125
Shared room,14,4.5,2,1,56
Shared room,4,3.5,2,1,45
Shared room,50,5,2,1,55
Shared room,2,0,2,1,48
Shared room,0,0,2,1,60
Shared room,7,5,2,1,47
Shared room,1,0,1,1,49
Shared room,73,5,1,1,41
Shared room,4,4.5,1,1,50
Entire home/apt,0,0,4,2,105
Entire home/apt,13,3.5,2,0,90
Entire home/apt,32,4.5,2,1,65
Entire home/apt,0,0,2,0,75
Entire home/apt,7,4.5,2,0,75
Entire home/apt,7,4.5,2,0,59
Entire home/apt,2,0,2,1,50
Entire home/apt,3,4.5,4,0,50
Entire home/apt,1,0,4,1,58
Entire home/apt,8,5,4,2,33
Entire home/apt,0,0,2,1,1950
Entire home/apt,0,0,8,3,1600
Entire home/apt,0,0,8,4,3900
Entire home/apt,0,0,6,3,2250
Entire home/apt,0,0,5,2,1500
Entire home/apt,0,0,8,3,1595
Entire home/apt,0,0,4,2,2500
Entire home/apt,0,0,8,3,2000
Entire home/apt,0,0,9,3,2500
Entire home/apt,0,0,3,1,1500
Entire home/apt,0,0,13,4,3000
Entire home/apt,0,0,8,4,1750
Entire home/apt,0,0,8,4,2000
Entire home/apt,0,0,10,5,2159
Entire home/apt,0,0,4,2,2000
Entire home/apt,0,0,4,2,1600
Entire home/apt,0,0,6,3,2000
Entire home/apt,0,0,8,2,2000
Entire home/apt,0,0,6,3,1500
Entire home/apt,0,0,4,1,1900
Entire home/apt,0,0,5,2,1750
Entire home/apt,0,0,10,4,3500
Entire home/apt,0,0,8,3,2164
Entire home/apt,0,0,8,5,2200
Entire home/apt,0,0,4,2,2000
Entire home/apt,0,0,6,3,2000
Entire home/apt,0,0,6,3,1750
Entire home/apt,0,0,8,4,2000
Entire home/apt,0,0,8,3,2000
Entire home/apt,0,0,8,3,1900
Entire home/apt,0,0,5,0,2700
Entire home/apt,0,0,8,4,3600
Entire home/apt,0,0,10,5,5500
Entire home/apt,0,0,12,5,2490
Entire home/apt,0,0,6,2,1900
Entire home/apt,0,0,8,3,2000
Entire home/apt,0,0,7,4,1950
Entire home/apt,0,0,6,2,2000
Entire home/apt,0,0,10,4,3000
Entire home/apt,0,0,2,1,2000
Entire home/apt,0,0,4,1,2800
Entire home/apt,0,0,6,3,2500
Entire home/apt,0,0,7,4,3500
Entire home/apt,0,0,5,3,1750
Entire home/apt,0,0,5,2,2000
Entire home/apt,0,0,10,4,3000
Entire home/apt,0,0,6,3,3200
Entire home/apt,0,0,5,3,1700
Entire home/apt,0,0,6,3,2500
Entire home/apt,0,0,8,3,1750
Entire home/apt,5,4.5,8,5,1750
Entire home/apt,0,0,4,2,3000
Entire home/apt,0,0,12,6,3799
Entire home/apt,0,0,6,4,1800
Entire home/apt,0,0,6,2,2500
Entire home/apt,0,0,8,4,3000
Entire home/apt,0,0,4,1,2000
Entire home/apt,0,0,5,3,1700
Entire home/apt,0,0,4,1,1700
Entire home/apt,0,0,11,5,2500
Entire home/apt,0,0,4,1,2000
Entire home/apt,0,0,8,3,3000
