,ds,location,data_type,value
1,15-09-2020,India,deaths_new,2344
2,15-09-2020,India,recovered_new,162253
3,15-09-2020,India,cases_new,173932
4,13-09-2020,India,deaths_new,1136
5,13-09-2020,India,recovered_new,77512
6,13-09-2020,India,cases_new,92071
7,12-09-2020,India,deaths_new,1114
8,12-09-2020,India,recovered_new,78399
9,12-09-2020,India,cases_new,94372
10,11-09-2020,India,deaths_new,1201
11,11-09-2020,India,recovered_new,81533
12,11-09-2020,India,cases_new,97570
13,10-09-2020,India,deaths_new,1209
14,10-09-2020,India,recovered_new,70880
15,10-09-2020,India,cases_new,96551
16,09-09-2020,India,deaths_new,1172
17,09-09-2020,India,recovered_new,72939
18,09-09-2020,India,cases_new,95735
19,08-09-2020,India,deaths_new,1115
20,08-09-2020,India,recovered_new,74894
21,08-09-2020,India,cases_new,89706
22,07-09-2020,India,deaths_new,1133
23,07-09-2020,India,recovered_new,73521
24,07-09-2020,India,cases_new,75809
25,06-09-2020,India,deaths_new,1016
26,06-09-2020,India,recovered_new,69564
27,06-09-2020,India,cases_new,90802
28,05-09-2020,India,deaths_new,1065
29,05-09-2020,India,recovered_new,73642
30,05-09-2020,India,cases_new,90632
31,04-09-2020,India,deaths_new,1089
32,04-09-2020,India,recovered_new,70072
33,04-09-2020,India,cases_new,86432
34,03-09-2020,India,deaths_new,1096
35,03-09-2020,India,recovered_new,66659
36,03-09-2020,India,cases_new,83341
37,02-09-2020,India,deaths_new,1043
38,02-09-2020,India,recovered_new,68584
39,02-09-2020,India,cases_new,83883
40,01-09-2020,India,deaths_new,1045
41,01-09-2020,India,recovered_new,62026
42,01-09-2020,India,cases_new,78357
43,31-08-2020,India,deaths_new,819
44,31-08-2020,India,recovered_new,65081
45,31-08-2020,India,cases_new,69921
46,30-08-2020,India,deaths_new,971
47,30-08-2020,India,recovered_new,60868
48,30-08-2020,India,cases_new,78512
49,29-08-2020,India,deaths_new,948
50,29-08-2020,India,recovered_new,64935
51,29-08-2020,India,cases_new,78761
52,28-08-2020,India,deaths_new,1021
53,28-08-2020,India,recovered_new,65050
54,28-08-2020,India,cases_new,76472
55,27-08-2020,India,deaths_new,1057
56,27-08-2020,India,recovered_new,60177
57,27-08-2020,India,cases_new,77266
58,26-08-2020,India,deaths_new,1115
59,26-08-2020,India,recovered_new,65432
60,26-08-2020,India,cases_new,85687
61,25-08-2020,India,deaths_new,967
62,25-08-2020,India,recovered_new,53754
63,25-08-2020,India,cases_new,57224
64,24-08-2020,India,deaths_new,848
65,24-08-2020,India,recovered_new,66550
66,24-08-2020,India,cases_new,60975
67,23-08-2020,India,deaths_new,836
68,23-08-2020,India,recovered_new,57469
69,23-08-2020,India,cases_new,61408
70,22-08-2020,India,deaths_new,912
71,22-08-2020,India,recovered_new,57989
72,22-08-2020,India,cases_new,69239
73,21-08-2020,India,deaths_new,945
74,21-08-2020,India,recovered_new,63631
75,21-08-2020,India,cases_new,69876
76,20-08-2020,India,deaths_new,983
77,20-08-2020,India,recovered_new,62282
78,20-08-2020,India,cases_new,68900
79,19-08-2020,India,deaths_new,978
80,19-08-2020,India,recovered_new,58848
81,19-08-2020,India,cases_new,69672
82,18-08-2020,India,deaths_new,1091
83,18-08-2020,India,recovered_new,60145
84,18-08-2020,India,cases_new,64572
85,17-08-2020,India,deaths_new,876
86,17-08-2020,India,recovered_new,57829
87,17-08-2020,India,cases_new,55018
88,16-08-2020,India,deaths_new,941
89,16-08-2020,India,recovered_new,57584
90,16-08-2020,India,cases_new,57711
91,15-08-2020,India,deaths_new,944
92,15-08-2020,India,recovered_new,53322
93,15-08-2020,India,cases_new,64030
94,14-08-2020,India,deaths_new,996
95,14-08-2020,India,recovered_new,57381
96,14-08-2020,India,cases_new,64732
97,13-08-2020,India,deaths_new,1007
98,13-08-2020,India,cases_new,64553
99,13-08-2020,India,recovered_new,55573
100,12-08-2020,India,deaths_new,942
101,12-08-2020,India,recovered_new,56383
102,12-08-2020,India,cases_new,66999
103,11-08-2020,India,deaths_new,834
104,11-08-2020,India,recovered_new,56110
105,11-08-2020,India,cases_new,60963
106,10-08-2020,India,deaths_new,871
107,10-08-2020,India,recovered_new,47746
